code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000816,智慧农业,1.3903,1.0756,42.2038,195.8215,53.2434,46.7566
000818,方大化工,1.0081,0.9128,46.2333,158.7388,34.4839,65.5161
000819,岳阳兴长,1.3233,0.4392,23.2068,-261.7479,41.5493,58.4507
000820,神雾节能,0.5202,0.3747,0.2805,145.4666,27.7737,72.2263
000821,京山轻机,2.9678,1.6421,78.4548,1675.1018,79.8155,20.1845
000822,山东海化,1.0859,0.8991,26.3523,464.7703,39.6025,60.3975
000823,超声电子,1.1094,0.7517,16.0338,374.0331,44.7716,55.2284
000825,太钢不锈,1.3999,0.8001,27.0121,738.4008,48.303,51.697
000826,启迪桑德,2.4667,2.4622,35.9313,921.5728,47.1855,52.8145
000828,东莞控股,0.9729,0.9729,88.1254,1956.0731,81.7247,18.2753
000829,天音控股,1.0954,0.6218,37.123,605.5476,17.2211,82.7789
000830,鲁西化工,0.8338,0.4093,16.0407,379.374,34.6006,65.3994
000831,*ST五稀,0.7533,0.5202,21.1522,118.6228,32.9586,67.0414
000833,贵糖股份,0.6036,0.1961,7.4955,179.9969,43.1976,56.8024
000835,长城动漫,1.5789,1.2087,8.6942,258.5157,53.7085,46.2915
000836,鑫茂科技,0.8156,0.4281,27.6064,-1637.3466,21.941,78.059
000837,秦川机床,2.0214,1.3558,66.6748,413.2231,60.1224,39.8776
000838,财信发展,1.917,1.2922,38.3178,-14411.2764,68.3418,31.6582
000839,中信国安,0.8881,0.7379,38.2482,298.6896,43.2461,56.7539
000848,承德露露,--,--,--,1123.4221,65.297,--
000850,华茂股份,1.06,0.594,13.2581,397.8788,56.1925,43.8075
000851,高鸿股份,1.3515,1.0607,19.675,-68.4741,42.6144,57.3856
000852,石化机械,--,--,--,2130.7138,52.8492,--
000856,冀东装备,0.724,0.376,1.3308,-47.3294,38.6474,61.3526
000858,五粮液,2.0509,1.4131,113.7104,-28343.0592,76.6144,23.3856
000859,国风塑业,0.7923,0.7021,5.0565,116.3018,51.6674,48.3326
000860,顺鑫农业,1.2022,0.7279,47.0874,397.5733,55.1383,44.8617
000861,海印股份,1.232,1.0094,9.3344,315.5293,55.9967,44.0033
000862,银星能源,0.7582,0.5412,6.9547,126.1003,17.5282,82.4718
000863,三湘印象,--,--,--,-41.2575,-51.2755,--
000868,安凯客车,1.5791,0.9957,28.4193,102.5456,47.535,52.465
000869,张裕A,3.3354,2.5638,237.7474,-4687.0269,75.9458,24.0542
