code,name,mbrg,nprg,nav,targ,epsg,seg
000752,西藏发展,-4.5224,-14.575999999999999,-12.7421,-10.9012,0.0,0.537
000753,漳州发展,-5.1335,381.712,3.5916,-5.2688,326.087,5.8595
000755,*ST三维,-34.826,,128.7479,-69.7859,-60.4902,104.8942
000756,新华制药,11.8341,17.3665,20.5357,13.4856,13.0435,19.3865
000757,浩物股份,9.5536,178.0144,14.4039,9.8976,160.0,14.4039
000758,中色股份,-25.0814,-6.5115,1.6717,-6.0325,-33.86,2.8367
000759,中百集团,1.6049,233.0068,15.3906,3.8961,235.0,11.7927
000760,斯太尔,92.1412,-220.847,-21.3616,-23.5521,-226.6667,-21.3616
000761,本钢板材,13.0435,43.0226,40.7593,17.2092,16.7665,42.3625
000762,西藏矿业,43.0313,,3.7157,-3.0863,14.2173,1.4371
000766,通化金马,54.2985,11.6983,6.3378,9.5071,11.5504,6.4095
000767,漳泽电力,23.2101,,-18.5053,-0.2317,-158.248,-7.7143
000768,中航飞机,23.4655,113.6409,-1.1366,10.1297,77.3414,1.9001
000776,广发证券,,-33.0986,4.9642,8.9702,-32.1429,4.1309
000777,中核科技,62.2263,8404.9198,2.8671,11.7317,1110.0,3.0964
000778,新兴铸管,-20.2064,142.44899999999996,2.9749,-1.9232,119.7989,3.5527
000779,三毛派神,14.0801,-115.637,15.3106,-14.672,-115.2632,15.3106
000780,平庄能源,-11.0599,-117.0388,3.7092,-1.0701,-115.3846,3.7092
000782,美达股份,11.2805,107.7827,2.506,14.9851,150.0,2.5468
000783,长江证券,,-61.6321,3.4551,2.5287,-61.1111,3.4897
000785,武汉中商,1.9553,97.8114,36.8354,0.7919,127.7778,44.5463
000786,北新建材,31.2694,89.7068,21.7084,11.4948,90.5512,21.956
000788,北大医药,1.2631,29.1471,2.528,4.8607,12.0,2.5687
000789,万年青,49.0234,324.4498,23.2124,6.2097,487.1058,23.0231
000790,泰合健康,1.2135,-15.0017,20.2133,-15.3556,-34.6154,20.2133
000791,甘肃电投,18.1535,,7.9176,-2.8857,-1156.6667,7.9376
000792,盐湖股份,54.7119,,-19.1825,-5.2438,125.7067,-20.6251
000793,华闻传媒,-2.466,-76.8094,-1.033,27.4652,-77.0483,0.05
000793,华闻传媒,-2.4659999999999997,-76.8094,-1.033,27.4652,-77.0483,0.05
000795,英洛华,12.5943,-60.04,3.3403,8.6671,-63.0435,3.5014
000796,凯撒旅游,10.657,-33.7749,7.5905,6.9692,-42.951,8.8319
000797,中国武夷,9.8365,22.1089,135.786,23.9984,58.0,141.8238
000798,中水渔业,-33.3839,-500.4871,3.3095,-22.172,-197.6471,-2.8634
