code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
600536,中国软件,0.26,0.18,33.7595,2.7569,0.0122,1510.3258,6.6919
600537,亿晶光电,1.09,1.86,27.0513,5.4258,0.0235,290.889,1.2645
600538,国发股份,-37.56,-47.18,12.5322,-84.5345,-0.3027,179.1625,0.6416
600539,ST狮头,1.58,3.43,17.8211,14.1482,0.0615,412.2247,1.7922
600540,新赛股份,0.75,1.0,6.1211,6.5534,0.0281,652.0071,2.8
600543,莫高股份,2.55,11.38,35.7361,25.3137,0.0788,222.2972,0.6922
600545,新疆城建,6.08,9.45,22.8715,87.3718,0.1292,924.5288,1.368
600546,*ST山煤,1.69,0.63,7.4524,10.9612,0.0365,1732.2091,5.774
600547,山东黄金,22.62,4.05,9.8058,626.1334,0.8799,15422.362,21.6747
600548,深高速,5.62,50.07,53.8409,455.2027,0.2087,909.0209,0.4168
600549,厦门钨业,1.65,1.71,17.2797,31.5865,0.0463,1840.2101,2.6983
600550,保变电气,12.78,11.09,20.7911,515.8884,0.4416,4650.26,3.9813
600551,时代出版,8.76,13.04,26.0883,167.2741,0.4282,1282.1484,3.2824
600552,凯盛科技,-1.19,-0.63,13.5245,-2.505,-0.0214,392.8374,3.3575
600555,海航创新,0.97,208.25,39.5448,18.9779,0.0218,9.1127,0.0104
600556,ST慧球,,1272.7,-64.2515,115.6091,0.2928,9.0837,0.023
600557,康缘药业,11.69,17.39,75.9471,120.6812,0.3774,693.9525,2.1704
600558,大西洋,8.62,4.08,15.7071,61.5054,0.5125,1505.137,12.5428
600559,老白干酒,4.53,2.73,42.119,17.3291,0.1237,633.1361,4.5224
600560,金自天正,5.86,7.09,19.0858,28.0762,0.2824,395.535,3.9793
600561,江西长运,12.3,9.23,31.3597,68.882,0.3708,745.6773,4.0149
600562,国睿科技,-11.55,-20.58,23.7392,-32.9155,-0.3914,159.8684,1.9011
600563,法拉电子,8.45,15.53,34.2901,83.8852,0.3728,539.8876,2.3995
600565,迪马股份,2.36,5.06,23.2253,24.3485,0.0338,480.2611,0.667
600566,济川药业,1.14,3.93,31.4368,5.8597,0.0551,148.838,1.4
600567,山鹰纸业,1.54,1.02,16.147,20.2907,0.0472,1974.2066,4.5953
600568,中珠医疗,15.6,4.96,12.4456,95.4838,0.5735,1922.2442,11.5473
600569,安阳钢铁,-2.54,-1.53,4.5832,-256.6488,-0.1072,16736.9702,6.9921
600570,恒生电子,17.07,30.39,71.1648,123.5824,0.2773,406.5263,0.9124
600571,信雅达,3.39,3.14,35.0987,11.2586,0.0578,357.5011,1.8375
600572,康恩贝,6.73,6.61,56.1868,63.4742,0.1959,959.02,2.9599
600573,惠泉啤酒,6.7,7.93,33.7069,73.6386,0.2945,928.5595,3.7142
600575,皖江物流,0.99,5.63,36.4931,5.3034,0.0149,94.0648,0.2643
600576,万家文化,-2.67,-8.24,65.7665,-13.5976,-0.0623,164.8361,0.7558
600577,精达股份,6.7,1.98,7.7336,50.9074,0.1728,2560.7079,8.6956
600578,京能电力,6.84,9.08,18.59,116.1511,0.2025,1278.6378,2.23
600579,天华院,24.17,1.26,10.0315,10.8092,0.0422,856.5304,3.351
600580,卧龙电气,13.13,8.98,22.4383,145.9107,0.515,1624.5815,5.7341
600581,*ST八钢,-1.89,-0.42,6.8612,-51.8352,-0.0676,12147.3971,15.8489
600582,天地科技,17.43,8.15,33.8022,373.3416,0.5535,4579.0726,6.7898
600583,海油工程,9.06,8.31,12.6652,794.8656,0.2452,9562.3594,2.9502
600584,长电科技,0.06,0.06,19.4542,1.1042,0.0014,1643.1723,2.205
600585,海螺水泥,8.25,12.65,26.5828,2235.0482,1.2652,17667.9296,10.002
600586,金晶科技,3.31,4.5,18.27,77.2107,0.1308,1714.7579,2.9059
600587,新华医疗,4.51,4.57,26.042,28.7793,0.2141,629.6871,4.6853
600588,用友网络,16.78,27.77,83.5215,348.7558,0.5748,1255.8265,2.07
600589,广东榕泰,5.83,10.66,18.8515,98.8809,0.1643,927.0365,1.5406
600590,泰豪科技,4.39,4.94,21.0539,72.6492,0.1914,1469.5201,3.8728
600592,龙溪股份,6.13,14.78,28.7686,47.9576,0.1598,324.3429,1.0811
600593,大连圣亚,6.02,16.52,53.9468,16.892,0.1836,102.2393,1.1112
600594,益佰制药,12.35,8.94,72.5283,81.9162,0.3483,916.1615,3.8957
600595,中孚实业,9.69,5.91,12.5722,251.1028,0.382,4246.5747,6.461
600596,新安股份,6.29,8.33,18.904,243.9065,0.79,2925.9363,9.4776
600597,光明乳业,5.51,1.9,37.4547,115.914,0.1112,6082.1759,5.8376
600598,北大荒,7.98,8.8,26.2271,401.8975,0.2344,4563.5608,2.6617
600599,熊猫金控,5.34,12.15,36.8233,12.3181,0.0977,101.3395,0.8042
600600,青岛啤酒,17.82,8.51,43.5642,1254.9636,0.9592,14734.5478,11.263
600601,方正科技,1.87,0.91,7.2065,52.8006,0.0305,5778.8214,3.3471
600602,云赛智联,-12.31,-43.07,3.8583,-205.4826,-0.1751,477.0305,0.4066
600603,广汇物流,,1406.04,94.45,5.8596,0.0301,0.4167,0.0021
600604,市北高新,-24.94,-41.3,0.1707,-76.8633,-0.1356,186.079,0.3285
600605,汇通能源,0.82,0.3,3.0077,2.8245,0.0191,937.4806,6.3625
600606,绿地控股,5.5,23.11,63.4944,92.4995,0.237,400.1956,1.0255
600608,*ST沪科,,-24.68,18.3344,-54.8176,-0.1666,222.0487,0.6752
600609,金杯汽车,-73.87,-5.58,11.4623,-184.5826,-0.1689,3303.8343,3.0236
600610,中毅达,3.23,11.58,10.9819,6.3011,0.0176,54.3782,0.1522
600611,大众交通,8.92,15.46,19.7417,391.632,0.2484,2531.8736,1.6064
600612,老凤祥,11.17,1.19,7.2516,103.7165,0.3744,8683.1216,31.3518
600613,神奇制药,5.12,19.49,69.4468,10.2276,0.0691,52.4677,0.3547
600614,鹏起科技,9.82,13.15,24.0069,69.6139,0.1226,529.0891,0.9324
600615,丰华股份,1.34,5.31,38.595,4.7566,0.0252,89.44,0.4756
600616,金枫酒业,11.42,16.71,52.7425,106.9069,0.2924,639.5744,1.7495
600617,国新能源,,-188.67,-1.1084,-24.3016,-0.1453,12.8805,0.077
600618,氯碱化工,-5.11,-3.65,7.0251,-130.4409,-0.1127,3572.4424,3.0892
600619,海立股份,2.81,1.34,11.8133,42.6494,0.0778,3162.6303,5.7717
600620,天宸股份,-7.52,-79.13,8.0214,-40.07,-0.1137,50.6324,0.1437
600621,华鑫股份,5.24,7.68,11.4057,55.0625,0.105,716.4342,1.367
600622,嘉宝集团,12.43,26.83,44.7779,208.4162,0.4052,776.7265,1.5102
600623,华谊集团,9.49,2.87,15.6838,162.4596,0.1826,5657.8425,6.3609
600624,复旦复华,3.97,5.03,37.4345,21.0336,0.0609,417.8426,1.2105
600626,申达股份,3.39,1.56,6.7954,58.3208,0.1231,3735.7271,7.8896
600628,新世界,7.44,6.67,27.5272,127.8819,0.2404,1915.5924,3.602
600629,华建集团,0.86,2.28,23.0991,3.0759,0.0114,134.4745,0.4999
600630,龙头股份,1.55,1.01,20.0635,21.1162,0.0497,2081.1394,4.8983
600633,浙报传媒,-12.84,-5.63,20.5374,-15.1924,-0.0999,269.6654,1.7735
600634,富控互动,-2.11,-189.49,57.7958,-4.1936,-0.048,2.213,0.0253
600635,大众公用,6.11,5.84,14.6488,151.0162,0.1009,2584.0343,1.728
600636,*ST爱富,0.62,0.29,15.476,4.5328,0.013,1541.7482,4.4401
